,City,State,2010 census,2016 land area km2,2016 land area sq mi,2016 population density km2,2016 population density sq mi,Area code,Counties,Country,County,Demonym,Density,Elevation,Estimate,Founded by,Incorporated,Land,Mayor,Metro,Rank,Summer,Time zone,Type,Water,Website,change,location,ZIP,FIPS,Finance Director,GNIS,Historic,Airports
0,New York City,New York,"8,175,133",780.9 ,301.5 ,"10,933","28,317","212/646/332, 718/347/929, 917",Bronx (The Bronx)Kings (Brooklyn)New York (Manhattan)Queens (Queens)Richmond (Staten Island),United States,,New Yorker,"27,751/sq mi (10,715/km2)",33 ft (10 m),"8,398,748,8,398,748",,,302.643 sq mi (783.84 km2),Bill de Blasio (D),"13,318 sq mi (34,490 km2)","1st, U.S.",UTC−04:00 (EDT),UTC−05:00 (EST),Mayor–Council,165.841 sq mi (429.53 km2),NYC.gov,+2.74%,40°39′49″N 73°56′19″W﻿ ,10000-11600,36-51000,,975772,New NetherlandProvince of New York,"John F. Kennedy International Airport, Newark Liberty International Airport, LaGuardia Airport"
1,Los Angeles,California,"3,792,621","1,213.9 ",468.7 ,"3,276","8,484","213/323, 310/424, 747/818",,United States,Los Angeles,Angeleno,"8,483.02/sq mi (3,275.32/km2)","305 ft (93 m),5,074 ft (1,547 m),0 ft (0 m)","3,990,456,3,999,759",,"April 4, 1850[4]","468.74 sq mi (1,214.03 km2)",Eric Garcetti (D)[6],"13,131,431 (U.S.: 2nd)","1st, California2nd, U.S.",UTC−07:00 (PDT),UTC−08:00 (Pacific),Mayor-Council-Commission[5],34.02 sq mi (88.12 km2)  6.7%,Official website,+5.22%,34°01′10″N 118°24′39″W﻿ ,90001-91601,06-44000,,"1662328, 2410877",,
2,Chicago,Illinois,"2,695,598",588.7 ,227.3 ,"4,600","11,900",312/872 and 773/872,"Cook, DuPage",United States,,Chicagoan,"11,898/sq mi (4,593.95/km2)","594 ft (181 m),672 ft (205 m),578 ft (176 m)","2,705,994,2,716,450",Jean Baptiste Point du Sable,"March 4, 1837",227.34 sq mi (588 km2),Lori Lightfoot (D),"9,533,040 (3rd)[4]","3rd, U.S.",UTC−05:00 (Central),UTC−06:00 (Central),Mayor–council,6.80 sq mi (17.62 km2)  3.0%,www.cityofchicago.org,+0.39%,41°50′15″N 87°40′54″W﻿ ,60600-60800,17-14000,,0428803,,"Chicago O'Hare, Chicago Midway"
3,Houston,Texas,"2,100,263","1,651.1 ",637.5 ,"1,395","3,613","713, 281, 832, 346","Harris, Fort Bend, Montgomery",United States,,Houstonian[1],"3,660/sq mi (1,414/km2)",80 ft (32 m),"2,325,502,2,328,419",,"June 5, 1837","599.59 sq mi (1,552.9 km2)",Sylvester Turner (D),"6,997,384 (5th U.S.)",US: 4th,UTC−5 (CDT),UTC−6 (CST),Mayor–council,,houstontx.gov,+10.72%,29°47′12″N 95°23′27″W﻿ ,77000-77000,48-35000[4],,1380948[5],,"George Bush Intercontinental Airport (IAH), William P. Hobby Airport (HOU)"
4,Phoenix,Arizona,"1,445,632","1,340.6 ",517.6 ,"1,200","3,120","East: 480
Central: 602
West: 623",,United States,Maricopa,Phoenician,"3,119.94/sq mi (1,204.61/km2)","1,086 ft (331 m)","1,660,272,1,626,078",,"February 25, 1881","517.64 sq mi (1,340.69 km2)",Kate Gallego,"4,737,270 (US: 12th)",US: 5th,,UTC−7 (MST (no DST)),Council-Manager,1.25 sq mi (3.25 km2),www.phoenix.gov,+14.85%,33°34′20″N 112°05′24″W﻿ ,85001-85099,04-55000,,"44784, 2411414",,"Phoenix Sky Harbor International Airport,Deer Valley AirportPhoenix–Mesa Gateway Airport"
5,Philadelphia,Pennsylvania,"1,526,006",347.6 ,134.2 ,"4,511","11,683","215, 267, 445",,United States,Philadelphia,Philadelphian,"11,797.27/sq mi (4,554.95/km2)",39 ft (12 m),"1,584,138,1,580,863","October 27, 1682,William Penn","October 25, 1701",134.28 sq mi (347.78 km2),Jim Kenney (D),"6,096,120 (US: 8th)[5]",US city: 6th,UTC-4 (EDT),UTC-5 (EST),"Mayor–council, consolidated city-county",8.42 sq mi (21.81 km2),www.phila.gov,+3.81%,40°00′34″N 75°08′00″W﻿ ,19099-19100,42-60000,,1215531[9],"Kingdom of Great Britain Province of Pennsylvania,Kingdom of EnglandKingdom of Great Britain",Philadelphia International Airport
6,San Antonio,Texas,"1,327,407","1,194.0 ",461.0 ,"1,250","3,238","210 (majority), 830 (portions), 726","Bexar, Medina, Comal",United States,,San Antonian,"3,241.76/sq mi (1,238.2/km2)",650 ft (198 m),"1,532,233","May 1, 1718[2]","June 5, 1837[3]","460.93[4] sq mi (1,193.7 km2)",Ron Nirenberg (I),"2,473,974 (24th)",,UTC−5 (CDT),UTC−6 (CST),Council-Manager,4.5 sq mi (11.7 km2),www.SanAntonio.gov,+15.43%,29°28′21″N 98°31′30″W﻿ ,78275-78275,,,,,San Antonio International AirportSAT (Major/International)
7,San Diego,California,"1,307,402",842.3 ,325.2 ,"1,670","4,325","619, 858",,United States,San Diego,San Diegan,"4,325.50/sq mi (1,670.08/km2)","62 ft (19 m),1,591 ft (485 m),0 ft (0 m)","1,425,976,1,419,516",,"March 27, 1850[1]",325.19 sq mi (842.25 km2),Kevin Faulconer (R)[3],"3,317,749 (17th)",2nd in California8th in the United States,UTC−7 (PDT),UTC−8 (Pacific),Strong mayor[2],47.20 sq mi (122.24 km2)  12.68%,SanDiego.gov,+9.07%,32°48′55″N 117°08′06″W﻿ ,92101-92199,06-66000,,"1661377, 2411782",,"San Diego International Airport,Tijuana International Airport  Palomar Airport"
8,Dallas,Texas,"1,197,816",882.9 ,340.9 ,"1,493","3,866","214, 469, 972, 682, 817[4][5]","Dallas, Collin, Denton, Rockwall, Kaufman",United States,,Dallasite,"3,876/sq mi (1,497/km2)",430 ft (131 m),"1,345,047,1,341,075",,"February 2, 1856",340.5 sq mi (881.9 km2),Mike Rawlings (D),"7,233,323 (4th)",(US: 9th),UTC−5 (Central),UTC−6 (Central),Council–Manager,45.3 sq mi (117.4 km2),dallascityhall.com,+12.29%,32°47′36″N 96°45′59″W﻿ ,75258-75387,48-19000[6],,1380944[7],,","
9,San Jose,California,"945,942",459.7 ,177.5 ,"2,231","5,777",408/669,,United States,Santa Clara,San Josean(s)  Josefino/a(s),"5,776.3/sq mi (2,230.24/km2)","82 ft (25 m),0 ft (0 m)","1,030,119,1,035,317","Pueblo de San José de Guadalupe,November 29, 1777","March 27, 1850[1]",177.51 sq mi (459.75 km2),Sam Liccardo[3] (D),"1,998,463 (34th)",3rd in California[9]10th in the United States,UTC−7 (Pacific Daylight Time),UTC−8 (Pacific Time Zone),Council–manager[2],3.01 sq mi (7.80 km2)  1.91%,www.sanjoseca.gov,+8.90%,37°17′48″N 121°49′08″W﻿ ,,06-68000,,"1654952, 2411790",,San Jose International Airport
